"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.00451302528381348,"GLFixedEffectModels logit",2,"simple",10,1000
2,0.0131473541259766,"alpaca logit",2,"simple",10,1000
2,0.016007661819458,"fixest logit",2,"simple",10,1000
2,NA,"GLFixedEffectModels logit",3,"simple",10,1000
2,0.365272760391235,"alpaca logit",3,"simple",10,1000
2,0.0581314563751221,"fixest logit",3,"simple",10,1000
3,0.00519204139709473,"GLFixedEffectModels logit",2,"simple",10,1000
3,0.0175399780273438,"alpaca logit",2,"simple",10,1000
3,0.018876314163208,"fixest logit",2,"simple",10,1000
3,NA,"GLFixedEffectModels logit",3,"simple",10,1000
3,1.0164909362793,"alpaca logit",3,"simple",10,1000
3,0.0797684192657471,"fixest logit",3,"simple",10,1000
4,0.00496888160705566,"GLFixedEffectModels logit",2,"simple",10,1000
4,0.0227468013763428,"alpaca logit",2,"simple",10,1000
4,0.016157865524292,"fixest logit",2,"simple",10,1000
4,NA,"GLFixedEffectModels logit",3,"simple",10,1000
4,0.365715503692627,"alpaca logit",3,"simple",10,1000
4,0.0572073459625244,"fixest logit",3,"simple",10,1000
5,0.00443792343139648,"GLFixedEffectModels logit",2,"simple",10,1000
5,0.0132300853729248,"alpaca logit",2,"simple",10,1000
5,0.0159025192260742,"fixest logit",2,"simple",10,1000
5,NA,"GLFixedEffectModels logit",3,"simple",10,1000
5,0.159159660339355,"alpaca logit",3,"simple",10,1000
5,0.0498318672180176,"fixest logit",3,"simple",10,1000
6,0.00452613830566406,"GLFixedEffectModels logit",2,"simple",10,1000
6,0.013108491897583,"alpaca logit",2,"simple",10,1000
6,0.016185998916626,"fixest logit",2,"simple",10,1000
6,NA,"GLFixedEffectModels logit",3,"simple",10,1000
6,0.402366638183594,"alpaca logit",3,"simple",10,1000
6,0.0597233772277832,"fixest logit",3,"simple",10,1000
7,0.00480985641479492,"GLFixedEffectModels logit",2,"simple",10,1000
7,0.01312255859375,"alpaca logit",2,"simple",10,1000
7,0.0160937309265137,"fixest logit",2,"simple",10,1000
7,NA,"GLFixedEffectModels logit",3,"simple",10,1000
7,0.22798752784729,"alpaca logit",3,"simple",10,1000
7,0.0537660121917725,"fixest logit",3,"simple",10,1000
8,0.00490689277648926,"GLFixedEffectModels logit",2,"simple",10,1000
8,0.013192892074585,"alpaca logit",2,"simple",10,1000
8,0.0157995223999023,"fixest logit",2,"simple",10,1000
8,NA,"GLFixedEffectModels logit",3,"simple",10,1000
8,0.164139032363892,"alpaca logit",3,"simple",10,1000
8,0.048755407333374,"fixest logit",3,"simple",10,1000
9,0.00543618202209473,"GLFixedEffectModels logit",2,"simple",10,1000
9,0.0132639408111572,"alpaca logit",2,"simple",10,1000
9,0.0171213150024414,"fixest logit",2,"simple",10,1000
9,NA,"GLFixedEffectModels logit",3,"simple",10,1000
9,0.31004524230957,"alpaca logit",3,"simple",10,1000
9,0.054814338684082,"fixest logit",3,"simple",10,1000
10,0.00489521026611328,"GLFixedEffectModels logit",2,"simple",10,1000
10,0.013261079788208,"alpaca logit",2,"simple",10,1000
10,0.0157122611999512,"fixest logit",2,"simple",10,1000
10,NA,"GLFixedEffectModels logit",3,"simple",10,1000
10,0.276872634887695,"alpaca logit",3,"simple",10,1000
10,0.0555012226104736,"fixest logit",3,"simple",10,1000
11,0.00459098815917969,"GLFixedEffectModels logit",2,"simple",10,1000
11,0.0137779712677002,"alpaca logit",2,"simple",10,1000
11,0.0167207717895508,"fixest logit",2,"simple",10,1000
11,NA,"GLFixedEffectModels logit",3,"simple",10,1000
11,0.181965589523315,"alpaca logit",3,"simple",10,1000
11,0.0495083332061768,"fixest logit",3,"simple",10,1000
2,0.0262258052825928,"GLFixedEffectModels logit",2,"simple",10,10000
2,0.100838184356689,"alpaca logit",2,"simple",10,10000
2,0.0434083938598633,"fixest logit",2,"simple",10,10000
2,NA,"GLFixedEffectModels logit",3,"simple",10,10000
2,3.79396104812622,"alpaca logit",3,"simple",10,10000
2,0.508825778961182,"fixest logit",3,"simple",10,10000
3,0.025238037109375,"GLFixedEffectModels logit",2,"simple",10,10000
3,0.135584592819214,"alpaca logit",2,"simple",10,10000
3,0.0476930141448975,"fixest logit",2,"simple",10,10000
3,NA,"GLFixedEffectModels logit",3,"simple",10,10000
3,11.945155620575,"alpaca logit",3,"simple",10,10000
3,1.21192622184753,"fixest logit",3,"simple",10,10000
4,0.0258469581604004,"GLFixedEffectModels logit",2,"simple",10,10000
4,0.0912919044494629,"alpaca logit",2,"simple",10,10000
4,0.0391831398010254,"fixest logit",2,"simple",10,10000
4,NA,"GLFixedEffectModels logit",3,"simple",10,10000
4,15.7106835842133,"alpaca logit",3,"simple",10,10000
4,0.776993751525879,"fixest logit",3,"simple",10,10000
5,0.0279941558837891,"GLFixedEffectModels logit",2,"simple",10,10000
5,0.112288236618042,"alpaca logit",2,"simple",10,10000
5,0.0436744689941406,"fixest logit",2,"simple",10,10000
5,NA,"GLFixedEffectModels logit",3,"simple",10,10000
5,6.20378947257996,"alpaca logit",3,"simple",10,10000
5,2.19721579551697,"fixest logit",3,"simple",10,10000
6,0.0295090675354004,"GLFixedEffectModels logit",2,"simple",10,10000
6,0.135743379592896,"alpaca logit",2,"simple",10,10000
6,0.0565271377563477,"fixest logit",2,"simple",10,10000
6,NA,"GLFixedEffectModels logit",3,"simple",10,10000
6,18.2849457263947,"alpaca logit",3,"simple",10,10000
6,0.976050138473511,"fixest logit",3,"simple",10,10000
7,0.0276799201965332,"GLFixedEffectModels logit",2,"simple",10,10000
7,0.0765171051025391,"alpaca logit",2,"simple",10,10000
7,0.0312886238098145,"fixest logit",2,"simple",10,10000
7,NA,"GLFixedEffectModels logit",3,"simple",10,10000
7,9.30359172821045,"alpaca logit",3,"simple",10,10000
7,1.09739112854004,"fixest logit",3,"simple",10,10000
8,0.0263791084289551,"GLFixedEffectModels logit",2,"simple",10,10000
8,0.104191541671753,"alpaca logit",2,"simple",10,10000
8,0.0393543243408203,"fixest logit",2,"simple",10,10000
8,NA,"GLFixedEffectModels logit",3,"simple",10,10000
8,6.81045389175415,"alpaca logit",3,"simple",10,10000
8,0.972353219985962,"fixest logit",3,"simple",10,10000
9,0.0228538513183594,"GLFixedEffectModels logit",2,"simple",10,10000
9,0.0985391139984131,"alpaca logit",2,"simple",10,10000
9,0.0358562469482422,"fixest logit",2,"simple",10,10000
9,NA,"GLFixedEffectModels logit",3,"simple",10,10000
9,10.0378346443176,"alpaca logit",3,"simple",10,10000
9,0.5650315284729,"fixest logit",3,"simple",10,10000
10,0.0281860828399658,"GLFixedEffectModels logit",2,"simple",10,10000
10,0.133199691772461,"alpaca logit",2,"simple",10,10000
10,0.0475747585296631,"fixest logit",2,"simple",10,10000
10,NA,"GLFixedEffectModels logit",3,"simple",10,10000
10,5.01573181152344,"alpaca logit",3,"simple",10,10000
10,0.302636623382568,"fixest logit",3,"simple",10,10000
11,0.0285820960998535,"GLFixedEffectModels logit",2,"simple",10,10000
11,0.131195545196533,"alpaca logit",2,"simple",10,10000
11,0.0476353168487549,"fixest logit",2,"simple",10,10000
11,NA,"GLFixedEffectModels logit",3,"simple",10,10000
11,10.2628474235535,"alpaca logit",3,"simple",10,10000
11,0.48994779586792,"fixest logit",3,"simple",10,10000
2,0.414572954177856,"GLFixedEffectModels logit",2,"simple",5,1e+05
2,0.97687029838562,"alpaca logit",2,"simple",5,1e+05
2,0.163112163543701,"fixest logit",2,"simple",5,1e+05
2,NA,"GLFixedEffectModels logit",3,"simple",5,1e+05
2,2.06533030668894,"alpaca logit",3,"simple",5,1e+05
2,16.8868255615234,"fixest logit",3,"simple",5,1e+05
3,0.23267388343811,"GLFixedEffectModels logit",2,"simple",5,1e+05
3,1.01514482498169,"alpaca logit",2,"simple",5,1e+05
3,0.176029205322266,"fixest logit",2,"simple",5,1e+05
3,NA,"GLFixedEffectModels logit",3,"simple",5,1e+05
3,2.02752669254939,"alpaca logit",3,"simple",5,1e+05
3,14.4395997524261,"fixest logit",3,"simple",5,1e+05
4,0.261590003967285,"GLFixedEffectModels logit",2,"simple",5,1e+05
4,1.20079517364502,"alpaca logit",2,"simple",5,1e+05
4,0.205024719238281,"fixest logit",2,"simple",5,1e+05
4,NA,"GLFixedEffectModels logit",3,"simple",5,1e+05
4,1.45133248567581,"alpaca logit",3,"simple",5,1e+05
4,11.2627100944519,"fixest logit",3,"simple",5,1e+05
5,NA,"GLFixedEffectModels logit",2,"simple",5,1e+05
5,1.1448757648468,"alpaca logit",2,"simple",5,1e+05
5,0.247090101242065,"fixest logit",2,"simple",5,1e+05
5,NA,"GLFixedEffectModels logit",3,"simple",5,1e+05
5,4.40185335079829,"alpaca logit",3,"simple",5,1e+05
5,13.8676729202271,"fixest logit",3,"simple",5,1e+05
6,0.234766960144043,"GLFixedEffectModels logit",2,"simple",5,1e+05
6,1.11197280883789,"alpaca logit",2,"simple",5,1e+05
6,0.17564868927002,"fixest logit",2,"simple",5,1e+05
6,NA,"GLFixedEffectModels logit",3,"simple",5,1e+05
6,1.21729058821996,"alpaca logit",3,"simple",5,1e+05
6,8.34669613838196,"fixest logit",3,"simple",5,1e+05
2,NA,"GLFixedEffectModels logit",2,"simple",5,1e+06
2,9.88312482833862,"alpaca logit",2,"simple",5,1e+06
2,2.94994759559631,"fixest logit",2,"simple",5,1e+06
2,NA,"GLFixedEffectModels logit",3,"simple",5,1e+06
2,12.5168768525124,"alpaca logit",3,"simple",5,1e+06
2,3.05336055755615,"fixest logit",3,"simple",5,1e+06
3,4.0754120349884,"GLFixedEffectModels logit",2,"simple",5,1e+06
3,8.80910658836365,"alpaca logit",2,"simple",5,1e+06
3,2.70039534568787,"fixest logit",2,"simple",5,1e+06
3,NA,"GLFixedEffectModels logit",3,"simple",5,1e+06
3,2.44210630297661,"alpaca logit",3,"simple",5,1e+06
3,3.18482807477315,"fixest logit",3,"simple",5,1e+06
4,4.10797882080078,"GLFixedEffectModels logit",2,"simple",5,1e+06
4,9.09019780158997,"alpaca logit",2,"simple",5,1e+06
4,2.62717795372009,"fixest logit",2,"simple",5,1e+06
4,NA,"GLFixedEffectModels logit",3,"simple",5,1e+06
4,19.5337989171346,"alpaca logit",3,"simple",5,1e+06
4,2.3217143257459,"fixest logit",3,"simple",5,1e+06
5,NA,"GLFixedEffectModels logit",2,"simple",5,1e+06
5,9.66492247581482,"alpaca logit",2,"simple",5,1e+06
5,2.24592709541321,"fixest logit",2,"simple",5,1e+06
5,NA,"GLFixedEffectModels logit",3,"simple",5,1e+06
5,15.1281346480052,"alpaca logit",3,"simple",5,1e+06
5,3.90643132925034,"fixest logit",3,"simple",5,1e+06
6,NA,"GLFixedEffectModels logit",2,"simple",5,1e+06
6,11.5771470069885,"alpaca logit",2,"simple",5,1e+06
6,2.80292630195618,"fixest logit",2,"simple",5,1e+06
6,NA,"GLFixedEffectModels logit",3,"simple",5,1e+06
6,16.3863389809926,"alpaca logit",3,"simple",5,1e+06
6,3.69981265465419,"fixest logit",3,"simple",5,1e+06
