"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.0667166709899902,"pyfixest.feols",2,"simple",10,1000
2,0.00166893005371094,"FixedEffectModels.reg",2,"simple",10,1000
2,0.00563955307006836,"lfe::felm",2,"simple",10,1000
2,0.00960063934326172,"fixest::feols",2,"simple",10,1000
2,0.063732385635376,"pyfixest.feols",3,"simple",10,1000
2,0.0020289421081543,"FixedEffectModels.reg",3,"simple",10,1000
2,0.00605487823486328,"lfe::felm",3,"simple",10,1000
2,0.00978350639343262,"fixest::feols",3,"simple",10,1000
3,0.0618641376495361,"pyfixest.feols",2,"simple",10,1000
3,0.00151515007019043,"FixedEffectModels.reg",2,"simple",10,1000
3,0.00570201873779297,"lfe::felm",2,"simple",10,1000
3,0.00954842567443848,"fixest::feols",2,"simple",10,1000
3,0.0628829002380371,"pyfixest.feols",3,"simple",10,1000
3,0.00197005271911621,"FixedEffectModels.reg",3,"simple",10,1000
3,0.00600552558898926,"lfe::felm",3,"simple",10,1000
3,0.0112447738647461,"fixest::feols",3,"simple",10,1000
4,0.0608601570129395,"pyfixest.feols",2,"simple",10,1000
4,0.00156998634338379,"FixedEffectModels.reg",2,"simple",10,1000
4,0.00733470916748047,"lfe::felm",2,"simple",10,1000
4,0.0113151073455811,"fixest::feols",2,"simple",10,1000
4,0.0611844062805176,"pyfixest.feols",3,"simple",10,1000
4,0.0019981861114502,"FixedEffectModels.reg",3,"simple",10,1000
4,0.00765895843505859,"lfe::felm",3,"simple",10,1000
4,0.0113816261291504,"fixest::feols",3,"simple",10,1000
5,0.0602924823760986,"pyfixest.feols",2,"simple",10,1000
5,0.00154805183410645,"FixedEffectModels.reg",2,"simple",10,1000
5,0.00714731216430664,"lfe::felm",2,"simple",10,1000
5,0.0111947059631348,"fixest::feols",2,"simple",10,1000
5,0.0676488876342773,"pyfixest.feols",3,"simple",10,1000
5,0.0025780200958252,"FixedEffectModels.reg",3,"simple",10,1000
5,0.00768756866455078,"lfe::felm",3,"simple",10,1000
5,0.0114116668701172,"fixest::feols",3,"simple",10,1000
