"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.098543643951416,"pyfixest.feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
2,0.00310611724853516,"FixedEffectModels.reg",1,"base_dgp (simple, hc1 + clustered)",10,1000
2,0.0127089023590088,"lfe::felm",1,"base_dgp (simple, hc1 + clustered)",10,1000
2,0.00951719284057617,"fixest::feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
3,0.096555233001709,"pyfixest.feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
3,0.00322484970092773,"FixedEffectModels.reg",1,"base_dgp (simple, hc1 + clustered)",10,1000
3,0.0132837295532227,"lfe::felm",1,"base_dgp (simple, hc1 + clustered)",10,1000
3,0.00983595848083496,"fixest::feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
4,0.095613956451416,"pyfixest.feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
4,0.00314116477966309,"FixedEffectModels.reg",1,"base_dgp (simple, hc1 + clustered)",10,1000
4,0.0131673812866211,"lfe::felm",1,"base_dgp (simple, hc1 + clustered)",10,1000
4,0.00983047485351562,"fixest::feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
5,0.0964691638946533,"pyfixest.feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
5,0.00308609008789062,"FixedEffectModels.reg",1,"base_dgp (simple, hc1 + clustered)",10,1000
5,0.0136826038360596,"lfe::felm",1,"base_dgp (simple, hc1 + clustered)",10,1000
5,0.0100572109222412,"fixest::feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
6,0.103546857833862,"pyfixest.feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
6,0.00316309928894043,"FixedEffectModels.reg",1,"base_dgp (simple, hc1 + clustered)",10,1000
6,0.0133326053619385,"lfe::felm",1,"base_dgp (simple, hc1 + clustered)",10,1000
6,0.00991678237915039,"fixest::feols",1,"base_dgp (simple, hc1 + clustered)",10,1000
