"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.171821355819702,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
2,0.0028989315032959,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
2,0.0111839771270752,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
2,0.0120909214019775,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
3,0.163030385971069,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
3,0.00287175178527832,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
3,0.0109548568725586,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
3,0.01216721534729,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
4,0.173749685287476,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
4,0.00290226936340332,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
4,0.0110464096069336,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
4,0.0124163627624512,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
5,0.180389404296875,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
5,0.00266790390014648,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
5,0.0108358860015869,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
5,0.0118286609649658,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
6,0.159708738327026,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
6,0.00304889678955078,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
6,0.0115861892700195,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
6,0.0125916004180908,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
7,0.170975208282471,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
7,0.00295782089233398,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
7,0.0114481449127197,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
7,0.0123388767242432,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
8,0.170864105224609,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
8,0.0028681755065918,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
8,0.0112819671630859,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
8,0.0123729705810547,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
9,0.169603109359741,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
9,0.0028989315032959,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
9,0.0113241672515869,"lfe::felm",1,"base_dgp (simple, 2 outcomes)",10,1000
9,0.0232698917388916,"fixest::feols",1,"base_dgp (simple, 2 outcomes)",10,1000
10,0.167510986328125,"pyfixest.feols",1,"base_dgp (simple, 2 outcomes)",10,1000
10,0.0029599666595459,"FixedEffectModels.reg",1,"base_dgp (simple, 2 outcomes)",10,1000
