"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.0932409763336182,"pyfixest.fepois",2,"simple",10,1000
2,0.00405097007751465,"GLFixedEffectModels Poisson",2,"simple",10,1000
2,0.0150506496429443,"alpaca Poisson",2,"simple",10,1000
2,0.0173823833465576,"fixest::fepois",2,"simple",10,1000
2,0.0962834358215332,"pyfixest.fepois",3,"simple",10,1000
2,0.00685310363769531,"GLFixedEffectModels Poisson",3,"simple",10,1000
2,0.0246474742889404,"alpaca Poisson",3,"simple",10,1000
2,0.0172405242919922,"fixest::fepois",3,"simple",10,1000
3,0.0935113430023193,"pyfixest.fepois",2,"simple",10,1000
3,0.0051579475402832,"GLFixedEffectModels Poisson",2,"simple",10,1000
3,0.0202507972717285,"alpaca Poisson",2,"simple",10,1000
3,0.0207607746124268,"fixest::fepois",2,"simple",10,1000
3,0.108820199966431,"pyfixest.fepois",3,"simple",10,1000
3,0.00740885734558105,"GLFixedEffectModels Poisson",3,"simple",10,1000
3,0.0218281745910645,"alpaca Poisson",3,"simple",10,1000
3,0.0152955055236816,"fixest::fepois",3,"simple",10,1000
4,0.0936944484710693,"pyfixest.fepois",2,"simple",10,1000
4,0.00471591949462891,"GLFixedEffectModels Poisson",2,"simple",10,1000
4,0.0146365165710449,"alpaca Poisson",2,"simple",10,1000
4,0.0150141716003418,"fixest::fepois",2,"simple",10,1000
4,0.099341869354248,"pyfixest.fepois",3,"simple",10,1000
4,0.00715899467468262,"GLFixedEffectModels Poisson",3,"simple",10,1000
4,0.0214188098907471,"alpaca Poisson",3,"simple",10,1000
4,0.0153191089630127,"fixest::fepois",3,"simple",10,1000
5,0.098397970199585,"pyfixest.fepois",2,"simple",10,1000
5,0.00523495674133301,"GLFixedEffectModels Poisson",2,"simple",10,1000
5,0.0223302841186523,"alpaca Poisson",2,"simple",10,1000
5,0.016127347946167,"fixest::fepois",2,"simple",10,1000
5,0.096379280090332,"pyfixest.fepois",3,"simple",10,1000
5,0.0072939395904541,"GLFixedEffectModels Poisson",3,"simple",10,1000
5,0.0247735977172852,"alpaca Poisson",3,"simple",10,1000
5,0.0152063369750977,"fixest::fepois",3,"simple",10,1000
6,0.0925962924957275,"pyfixest.fepois",2,"simple",10,1000
6,0.00366306304931641,"GLFixedEffectModels Poisson",2,"simple",10,1000
6,0.0126843452453613,"alpaca Poisson",2,"simple",10,1000
6,0.0159201622009277,"fixest::fepois",2,"simple",10,1000
6,0.0937061309814453,"pyfixest.fepois",3,"simple",10,1000
6,0.0204710960388184,"GLFixedEffectModels Poisson",3,"simple",10,1000
6,0.0165464878082275,"alpaca Poisson",3,"simple",10,1000
